s,e,10,9,8,7,6,5,4,3,2,1,title
1,00,1664,1054,1484,832,344,141,56,38,63,54,100Pilot
1,01,425,423,617,300,102,26,11,5,0,4,101DeepThro
1,10,334,298,520,282,94,25,12,5,2,11,110Eve
1,11,191,127,328,448,230,91,39,10,7,12,111Fire
1,12,587,446,357,185,69,34,5,3,1,4,112Beyondth
1,13,192,145,331,428,202,88,32,11,8,9,113GenderBe
1,14,133,78,202,419,331,101,34,12,5,9,114Lazarus
1,15,150,93,332,412,198,71,19,5,1,7,115YoungatH
1,16,361,373,422,168,49,26,0,0,0,6,116E.B.E.
1,17,136,65,228,436,255,101,26,11,4,12,117MiracleM
1,18,152,82,193,387,280,134,58,10,9,14,118Shapes
1,19,412,417,390,198,60,26,4,4,4,4,119Darkness
1,02,622,630,495,219,67,19,5,4,1,6,102Squeeze
1,20,316,311,472,225,67,31,16,1,3,5,120Tooms
1,21,150,64,197,411,250,106,25,10,5,12,121BornAgai
1,22,158,87,249,424,209,67,29,7,8,5,122Roland
1,23,636,463,245,85,31,14,2,1,1,38,123TheErlen
1,03,223,163,477,541,179,62,9,4,1,4,103Conduit
1,04,176,105,270,545,346,147,53,16,9,8,104TheJerse
1,05,179,100,313,571,245,92,31,5,2,11,105Shadows
1,06,157,83,223,419,378,198,69,26,23,20,106Ghostint
1,07,731,602,377,175,50,21,7,2,2,10,107Ice
1,08,154,54,148,278,351,284,132,105,53,77,108Space
1,09,238,246,476,313,136,40,13,4,2,5,109FallenAn
2,01,256,232,432,235,71,31,16,7,3,4,201LittleGr
2,10,162,123,381,305,120,33,12,4,3,4,210RedMuseu
2,11,126,62,191,375,221,106,33,7,7,8,211Excelsis
2,12,141,93,310,348,150,55,9,7,1,4,212Aubrey
2,13,282,222,395,212,98,29,15,8,4,9,213Irresist
2,14,257,254,408,218,67,33,17,4,6,11,214DieHandd
2,15,125,66,216,355,205,90,32,5,5,7,215FreshBon
2,16,417,404,246,97,32,17,4,0,3,8,216Colony
2,17,412,398,227,80,35,15,5,1,2,16,217EndGame
2,18,127,44,129,279,296,142,58,27,15,13,218FearfulS
2,19,200,140,325,302,117,61,24,15,3,6,219D&#xF8;d
2,02,299,291,446,227,85,29,6,2,3,8,202TheHost
2,20,590,415,238,151,62,23,10,1,5,13,220Humbug
2,21,165,116,300,296,145,77,21,15,3,11,221TheCalus
2,22,193,226,412,205,51,21,6,5,5,5,222F.Emascu
2,23,167,143,368,286,89,36,13,2,3,4,223SoftLigh
2,24,183,163,397,252,75,35,9,3,1,3,224OurTown
2,25,693,342,164,56,28,11,2,1,1,42,225Anasazi
2,03,165,124,375,338,152,40,17,5,8,7,203Blood
2,04,174,165,422,287,106,29,5,4,3,4,204Sleeples
2,05,469,417,309,117,47,16,2,5,3,11,205DuaneBar
2,06,396,411,262,117,39,21,2,2,4,7,206Ascensio
2,07,139,67,132,239,323,167,70,48,23,33,2073
2,08,366,305,275,170,46,35,9,6,2,6,208OneBreat
2,09,127,87,232,376,190,85,31,14,3,7,209Firewalk
3,01,375,390,239,122,42,14,1,5,1,4,301TheBless
3,10,353,368,210,109,23,9,4,1,1,9,310731
3,11,145,108,218,321,127,69,18,9,5,17,311Revelati
3,12,601,400,252,119,47,15,4,3,2,13,312Warofthe
3,13,219,176,311,242,111,59,24,8,8,16,313Syzygy
3,14,172,113,238,266,137,52,23,8,7,3,314Grotesqu
3,15,287,302,288,112,33,18,9,1,1,4,315PiperMar
3,16,298,300,248,106,28,16,8,1,1,5,316Apocryph
3,17,349,321,299,140,38,17,3,3,1,3,317Pusher
3,18,102,20,60,157,225,199,93,65,43,29,318TesodosB
3,19,125,79,174,256,173,90,21,16,6,12,319HellMone
3,02,538,370,166,85,20,12,3,2,2,33,302PaperCli
3,20,984,354,174,104,46,22,22,8,13,54,320JoseChun
3,21,144,117,312,263,98,44,12,3,4,3,321Avatar
3,22,220,212,338,172,66,24,5,2,3,2,322Quagmire
3,23,232,239,317,137,36,10,3,2,0,3,323Wetwired
3,24,279,310,224,121,30,9,4,1,4,5,324TalithaC
3,03,217,199,348,318,128,40,9,6,2,5,303D.P.O.
3,04,1057,426,195,82,36,14,5,3,4,44,304ClydeBru
3,05,114,80,165,341,218,70,28,13,3,8,305TheList
3,06,130,92,266,337,131,66,11,9,2,6,3062Shy
3,07,115,65,187,367,170,70,16,11,1,3,307TheWalk
3,08,168,140,319,254,111,40,13,9,5,5,308Oubliett
3,09,289,321,301,128,21,11,3,3,1,5,309Nisei
4,01,246,236,294,137,39,16,7,3,1,5,401Herrenvo
4,10,415,319,219,91,34,10,6,4,4,9,410PaperHea
4,11,112,65,138,273,162,102,42,32,12,17,411ElMundoG
4,12,221,231,313,155,41,12,4,5,1,4,412LeonardB
4,13,195,147,258,203,114,54,15,13,6,13,413NeverAga
4,14,299,224,244,123,46,24,7,4,0,6,414MementoM
4,15,114,57,145,252,197,65,35,16,8,16,415Kaddish
4,16,120,68,170,280,139,49,19,7,2,5,416Unrequit
4,17,220,214,302,110,43,9,7,0,1,3,417TempusFu
4,18,213,214,271,123,44,14,7,0,0,4,418Max
4,19,133,98,256,266,81,32,8,6,4,4,419Synchron
4,02,805,465,252,129,55,22,11,7,10,29,402Home
4,20,624,338,185,76,32,13,4,1,1,38,420SmallPot
4,21,169,167,305,160,44,18,10,2,2,3,421ZeroSum
